URL,RESPONSE,DESCRIPTION
http://www.example.gh,,"HTTPConnectionPool(host='www.example.gh', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E17F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gi,,"HTTPConnectionPool(host='www.example.gi', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F76D8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gl,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.gm,,"HTTPConnectionPool(host='www.example.gm', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7DD8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gn,,"HTTPConnectionPool(host='www.example.gn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E14E0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gp,,"HTTPConnectionPool(host='www.example.gp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291110CF8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gq,,"HTTPConnectionPool(host='www.example.gq', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E14E0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gr,,"HTTPConnectionPool(host='www.example.gr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7DD8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gs,,"HTTPConnectionPool(host='www.example.gs', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7F98>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gt,,"HTTPConnectionPool(host='www.example.gt', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7128>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gu,,"HTTPConnectionPool(host='www.example.gu', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7358>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gw,,"HTTPConnectionPool(host='www.example.gw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7278>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gy,,"HTTPConnectionPool(host='www.example.gy', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7B70>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.hk,,"HTTPConnectionPool(host='www.example.hk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7400>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.hm,,"HTTPConnectionPool(host='www.example.hm', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7320>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.hn,,"HTTPConnectionPool(host='www.example.hn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7208>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.hr,,"HTTPConnectionPool(host='www.example.hr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7470>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ht,,"HTTPConnectionPool(host='www.example.ht', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7F28>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.hu,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.id,,"HTTPConnectionPool(host='www.example.id', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7630>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ie,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.il,,"HTTPConnectionPool(host='www.example.il', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291103AC8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.im,,"HTTPConnectionPool(host='www.example.im', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1F98>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.in,,"HTTPConnectionPool(host='www.example.in', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7F28>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.io,,"HTTPConnectionPool(host='www.example.io', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1F98>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.iq,,"HTTPConnectionPool(host='www.example.iq', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7F60>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ir,,"HTTPConnectionPool(host='www.example.ir', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1F98>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.is,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.it,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.je,,"HTTPConnectionPool(host='www.example.je', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7940>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.jm,,"HTTPConnectionPool(host='www.example.jm', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1A90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.jo,,"HTTPConnectionPool(host='www.example.jo', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1EF0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.jp,,"HTTPConnectionPool(host='www.example.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1A90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ke,,"HTTPConnectionPool(host='www.example.ke', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1828>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.kg,,"HTTPConnectionPool(host='www.example.kg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E15F8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
